lesson,q_type,term,line,prompt,correct,wrong1,wrong2,wrong3,option_images,tokens,audio,note,speaker,speaker_emotion
パーティーでテンション爆上げ,mcq_image,that's sick,that's sick,「that's sick」に合う意味は?,😋 すごい！／最高！,💬 あなたがそう言うなら,👋 またね／じゃあね,💬 ⏰ 遅れそう,,,that-s-sick.mp3,すごい！／最高！ / 例: Check this out! That's sick! / 訳: 見て！すごい！ / 由来: 「sick=病気」なのに、逆に「めっちゃクール!」って意味。「マジで最悪」を反対に「マジで最高」って言うのは、スケボー好きな子たちが言い始めたって言われてるよ。,firemon,idle
パーティーでテンション爆上げ,mcq,slay,slay,「slay」の意味は?,圧勝する・最高・イケてる,超イケてる／最高,fire,最高！／盛り上がってる,,,slay.mp3,圧勝する・最高・イケてる / 例: OMG you slayed in your outfit! / 訳: その服イケすぎ！ / 由来: 直訳は「(敵を)倒す」だけど、「圧倒的にキメる!」って意味。服がキマってる、ダンスがすごい、そんな時に「You slayed!(かっこよすぎ!)」って褒めるよ。,firemon,idle
パーティーでテンション爆上げ,mcq,slay,OMG you _____ed in your outfit!　(その服イケすぎ！),空欄に入るのは?,slay,No cap,I can't cope,Ate,,,slay.mp3,圧勝する・最高・イケてる / 例: OMG you Slayed in your outfit! / 訳: その服イケすぎ！ / 由来: 直訳は「(敵を)倒す」だけど、「圧倒的にキメる!」って意味。服がキマってる、ダンスがすごい、そんな時に「You slayed!(かっこよすぎ!)」って褒めるよ。,firemon,idle
パーティーでテンション爆上げ,listen,slay,slay,何と言っていますか?,slay,Sleigh,,,,,slay.mp3,圧勝する・最高・イケてる / 例: OMG you slayed in your outfit! / 訳: その服イケすぎ！ / 由来: 直訳は「(敵を)倒す」だけど、「圧倒的にキメる!」って意味。服がキマってる、ダンスがすごい、そんな時に「You slayed!(かっこよすぎ!)」って褒めるよ。,firemon,idle
パーティーでテンション爆上げ,mcq_image,slay,slay,「slay」に合う意味は?,😋 圧勝する・最高・イケてる,🎉 遊ぶ・つるむ,🌟 〜系・〜っぽい,🤝 親友,,,slay.mp3,圧勝する・最高・イケてる / 例: OMG you slayed in your outfit! / 訳: その服イケすぎ！ / 由来: 直訳は「(敵を)倒す」だけど、「圧倒的にキメる!」って意味。服がキマってる、ダンスがすごい、そんな時に「You slayed!(かっこよすぎ!)」って褒めるよ。,firemon,idle
推しに惚れちゃう褒め殺し,mcq,ate,ate,「ate」の意味は?,よくやった／イケてる,ate,イケてる／キマってる,snatched,,,ate.mp3,よくやった／イケてる / 例: She ate that performance. / 訳: 彼女の演技、最高だった。 / 由来: eat の過去形で「食べた」だけど、本当の意味は「完璧にやり切った!」。ステージや発表を絶賛する時に「She ate that!(あの子、キマってた!)」って感じ。,slaymon,idle
推しに惚れちゃう褒め殺し,mcq,ate,She ____ that performance.　(かっこよかったよ！),空欄に入るのは?,ate,cringe,ghost,salty,,,ate.mp3,よくやった／イケてる / 例: She ate that performance. / 訳: 彼女の演技、最高だった。 / 由来: eat の過去形で「食べた」だけど、本当の意味は「完璧にやり切った!」。ステージや発表を絶賛する時に「She ate that!(あの子、キマってた!)」って感じ。,slaymon,idle
推しに惚れちゃう褒め殺し,listen,ate,ate,何と言っていますか?,ate,Eight,,,,,ate.mp3,よくやった／イケてる / 例: You ate that! / 訳: かっこよかったよ！ / 由来: eat の過去形で「食べた」だけど、本当の意味は「完璧にやり切った!」。ステージや発表を絶賛する時に「You ate that!(キマってた!)」って感じ。,slaymon,idle
推しに惚れちゃう褒め殺し,mcq_image,ate,ate,「ate」に合う意味は?,🏆 完璧にやり遂げた・かっこよかった,💬 ごめんね・私のミス,💬 今から〜する,💬 エグい・すごく,,,ate.mp3,よくやった／イケてる / 例: You ate that! / 訳: かっこよかったよ！ / 由来: eat の過去形で「食べた」だけど、本当の意味は「完璧にやり切った!」。ステージや発表を絶賛する時に「You ate that!(キマってた!)」って感じ。,slaymon,idle
推しに惚れちゃう褒め殺し,mcq,snatched,snatched,「snatched」の意味は?,イケてる／キマってる,よくやった／イケてる,ate,snatched,,,snatched.mp3,イケてる／キマってる / 例: Her bag is snatched! / 訳: 彼女のバッグ、イケてる！ / 由来: 「引き締まってる」「キリッとしてる」って意味。眉毛やヘアスタイル、服装がめっちゃキマってる時に「Your brows are snatched!(眉毛キマってる!)」って褒めるフレーズ。,slaymon,idle
推しに惚れちゃう褒め殺し,mcq,snatched,Her bag is ____!　(彼女のバッグ、イケてる！),空欄に入るのは?,snatched,jelly,salty,bomb,,,snatched.mp3,彼女のバッグ、イケてる！ / 例: Her bag is ____! / 訳: 彼女のバッグ、イケてる！ / 由来: 「引き締まってる」「キリッとしてる」って意味。眉毛やヘアスタイル、服装がめっちゃキマってる時に「Your brows are snatched!(眉毛キマってる!)」って褒めるフレーズ。,slaymon,idle
推しに惚れちゃう褒め殺し,listen,snatched,snatched,何と言っていますか?,snatched,scratched,,,,,snatched.mp3,イケてる／キマってる / 例: Her bag is snatched! / 訳: 彼女のバッグ、イケてる！ / 由来: 「引き締まってる」「キリッとしてる」って意味。眉毛やヘアスタイル、服装がめっちゃキマってる時に「Your brows are snatched!(眉毛キマってる!)」って褒めるフレーズ。,slaymon,idle
推しに惚れちゃう褒め殺し,mcq_image,snatched,snatched,「snatched」に合う意味は?,💪 イケてる／キマってる,😋 最高！／盛り上がってる,💬 よくやったね／お見事,😴 くたくた／疲れきった,,,snatched.mp3,イケてる／キマってる / 例: Her bag is snatched! / 訳: 彼女のバッグ、イケてる！ / 由来: 「引き締まってる」「キリッとしてる」って意味。眉毛やヘアスタイル、服装がめっちゃキマってる時に「Your brows are snatched!(眉毛キマってる!)」って褒めるフレーズ。,slaymon,idle
推しに惚れちゃう褒め殺し,mcq,GZ,GZ,「GZ」の意味は?,おめでとう,よくやった／イケてる,ate,イケてる／キマってる,,,gz.mp3,おめでとう / 例: GZ on your win! / 訳: 勝利おめでとう！ / 略: GZ = Congratulations（おめでとう）を超短縮したもの / 由来: Congratulations→Grats→GZと段々短くなった形。ゲームで仲間が勝ったり、達成した時にサッと「GZ!」ってチャットで送るよ。,slaymon,idle
推しに惚れちゃう褒め殺し,mcq,kudos,kudos,「kudos」の意味は?,よくやったね／お見事,よくやった／イケてる,ate,イケてる／キマってる,,,kudos.mp3,よくやったね／お見事 / 例: Kudos on the win! / 訳: 勝利おめでとう、よくやったね！ / 由来: ちょっと大人っぽい褒め言葉で「よくやったね!」「お見事!」。友達が試験に受かった時なんかに「Kudos!」って言うと、少し格好つけた褒め方になるよ。,slaymon,idle
推しに惚れちゃう褒め殺し,mcq,kudos,____ on the win!　(勝利おめでとう、よくやったね！),空欄に入るのは?,kudos,salty,cringe,whatever,,,kudos.mp3,勝利おめでとう、よくやったね！ / 例: ____ on the win! / 訳: 勝利おめでとう、よくやったね！ / 由来: ちょっと大人っぽい褒め言葉で「よくやったね!」「お見事!」。友達が試験に受かった時なんかに「Kudos!」って言うと、少し格好つけた褒め方になるよ。,slaymon,idle
推しに惚れちゃう褒め殺し,listen,kudos,kudos,何と言っていますか?,kudos,cuckoos,,,,,kudos.mp3,よくやったね／お見事 / 例: Kudos on the win! / 訳: 勝利おめでとう、よくやったね！ / 由来: ちょっと大人っぽい褒め言葉で「よくやったね!」「お見事!」。友達が試験に受かった時なんかに「Kudos!」って言うと、少し格好つけた褒め方になるよ。,slaymon,idle
推しに惚れちゃう褒め殺し,mcq_image,kudos,kudos,「kudos」に合う意味は?,👏 よくやったね／お見事,👍 いいね！／了解,💬 うらやましい,👍 どうでもいいよ,,,kudos.mp3,よくやったね／お見事 / 例: Kudos on the win! / 訳: 勝利おめでとう、よくやったね！ / 由来: ちょっと大人っぽい褒め言葉で「よくやったね!」「お見事!」。友達が試験に受かった時なんかに「Kudos!」って言うと、少し格好つけた褒め方になるよ。,slaymon,idle
推しに惚れちゃう褒め殺し,mcq,glow up,glow up,「glow up」の意味は?,見違えるほど垢抜ける,よくやった／イケてる,ate,イケてる／キマってる,,,glow-up.mp3,見違えるほど垢抜ける / 例: She had a glow up. / 訳: 彼女、垢抜けたね。 / 由来: 「キラキラ度が上がる」= 見違えるくらい垢抜けた、成長したって意味。昔と今の写真を並べて「Glow up!」って言うと、「めっちゃ変わったね(良い意味で)」って感じ。,slaymon,idle
推しに惚れちゃう褒め殺し,mcq,glow up,She had a _____.　(彼女、垢抜けたね。),空欄に入るのは?,glow up,Deceased,Hi there,Gross,,,glow-up.mp3,見違えるほど垢抜ける / 例: She had a Glow up. / 訳: 彼女、垢抜けたね。 / 由来: 「キラキラ度が上がる」= 見違えるくらい垢抜けた、成長したって意味。昔と今の写真を並べて「Glow up!」って言うと、「めっちゃ変わったね(良い意味で)」って感じ。,slaymon,idle
推しに惚れちゃう褒め殺し,listen,glow up,glow up,何と言っていますか?,glow up,Grow up,,,,,glow-up.mp3,見違えるほど垢抜ける / 例: She had a glow up. / 訳: 彼女、垢抜けたね。 / 由来: 「キラキラ度が上がる」= 見違えるくらい垢抜けた、成長したって意味。昔と今の写真を並べて「Glow up!」って言うと、「めっちゃ変わったね(良い意味で)」って感じ。,slaymon,idle
推しに惚れちゃう褒め殺し,mcq_image,glow up,glow up,「glow up」に合う意味は?,✨ 見違えるほど垢抜ける,💬 ズルい・不公平,💬 完璧にやり遂げた・かっこよかった,💬 兄弟・男友達,,,glow-up.mp3,見違えるほど垢抜ける / 例: She had a glow up. / 訳: 彼女、垢抜けたね。 / 由来: 「キラキラ度が上がる」= 見違えるくらい垢抜けた、成長したって意味。昔と今の写真を並べて「Glow up!」って言うと、「めっちゃ変わったね(良い意味で)」って感じ。,slaymon,idle
サクッと相槌タイム,mcq,bet,bet,「bet」の意味は?,いいね！／了解,bet,確かに／絶対そう,no doubt,,,bet.mp3,いいね！／了解 / 例: Person B: BET! / 訳: いいね！行こう！ / 由来: 元は「賭ける」だけど、若者言葉では「OK!任せて!」の意味。「明日集まる?」→「Bet.(了解!)」みたいに一言で使えるから超便利。,betmon,idle
サクッと相槌タイム,mcq,bet,Person B: bet!　(了解！),空欄に入るのは?,bet,ate,bomb,lit,,,bet.mp3,いいね！行こう！ / 例: Person B: BET! / 訳: 了解！ / 由来: 元は「賭ける」だけど、若者言葉では「OK!任せて!」の意味。「明日集まる?」→「Bet.(了解!)」みたいに一言で使えるから超便利。,betmon,idle
サクッと相槌タイム,listen,bet,bet,何と言っていますか?,bet,vet,,,,,bet.mp3,"いいね！／了解 / 例: Alright, bet. / 訳: 了解！ / 由来: 元は「賭ける」だけど、若者言葉では「OK!任せて!」の意味。「明日集まる?」→「Bet.(了解!)」みたいに一言で使えるから超便利。",betmon,idle
サクッと相槌タイム,mcq_image,bet,bet,「bet」に合う意味は?,👍 いいね！／了解,💬 めっちゃ驚いた／動揺した,😴 くたくた／疲れきった,💬 拗ねてる／不機嫌,,,bet.mp3,"いいね！／了解 / 例: Alright, bet. / 訳: 了解！ / 由来: 元は「賭ける」だけど、若者言葉では「OK!任せて!」の意味。「明日集まる?」→「Bet.(了解!)」みたいに一言で使えるから超便利。",betmon,idle
サクッと相槌タイム,mcq,no doubt,no doubt,「no doubt」の意味は?,確かに／絶対そう,いいね！／了解,bet,no doubt,,,no-doubt.mp3,確かに／絶対そう / 例: No doubt. Can't believe it's over. / 訳: 確かに。もう終わるなんて信じられない。 / 由来: 直訳「疑いなし」= 「もちろん!」「間違いなくそう!」って強く同意する時に。,betmon,idle
サクッと相槌タイム,mcq,no doubt,____. Can't believe it's over.　(確かに。もう終わるなんて信じられない。),空欄に入るのは?,no doubt,that's for sure,no way,not bad,,,no-doubt.mp3,確かに。もう終わるなんて信じられない。 / 例: ____. Can't believe it's over. / 訳: 確かに。もう終わるなんて信じられない。 / 由来: 直訳「疑いなし」= 「もちろん!」「間違いなくそう!」って強く同意する時に。,betmon,idle
サクッと相槌タイム,listen,no doubt,no doubt,何と言っていますか?,no doubt,no dot,,,,,no-doubt.mp3,確かに／絶対そう / 例: No doubt. Can't believe it's over. / 訳: 確かに。もう終わるなんて信じられない。 / 由来: 直訳「疑いなし」= 「もちろん!」「間違いなくそう!」って強く同意する時に。,betmon,idle
サクッと相槌タイム,mcq_image,no doubt,no doubt,「no doubt」に合う意味は?,🙅 確かに／絶対そう,💬 完璧だった／すごかった,💬 任せて／やるよ,🤔 私もそう思ってた,,,no-doubt.mp3,確かに／絶対そう / 例: No doubt. Can't believe it's over. / 訳: 確かに。もう終わるなんて信じられない。 / 由来: 直訳「疑いなし」= 「もちろん!」「間違いなくそう!」って強く同意する時に。,betmon,idle
サクッと相槌タイム,mcq,that's for sure,that's for sure,「that's for sure」の意味は?,それは間違いない,いいね！／了解,bet,確かに／絶対そう,,,that-s-for-sure.mp3,それは間違いない / 例: He's the funniest. — That's for sure. / 訳: 彼が一番面白い。ーそれは間違いない。 / 由来: 「それはたしかにそう!」って強く同意する時のフレーズ。相手の意見に完全に賛成する時に使うよ。,betmon,idle
サクッと相槌タイム,mcq,that's for sure,He's the funniest. — ____.　(彼が一番面白い。ーそれは間違いない。),空欄に入るのは?,that's for sure,no worries,low-key freaking out,that's valid,,,that-s-for-sure.mp3,彼が一番面白い。ーそれは間違いない。 / 例: He's the funniest. — ____. / 訳: 彼が一番面白い。ーそれは間違いない。 / 由来: 「それはたしかにそう!」って強く同意する時のフレーズ。相手の意見に完全に賛成する時に使うよ。,betmon,idle
サクッと相槌タイム,listen,that's for sure,that's for sure,何と言っていますか?,that's for sure,that's four sure,,,,,that-s-for-sure.mp3,それは間違いない / 例: He's the funniest. — That's for sure. / 訳: 彼が一番面白い。ーそれは間違いない。 / 由来: 「それはたしかにそう!」って強く同意する時のフレーズ。相手の意見に完全に賛成する時に使うよ。,betmon,idle
サクッと相槌タイム,mcq_image,that's for sure,that's for sure,「that's for sure」に合う意味は?,💯 それは間違いない,💬 忘れちゃった,🙌 超わかる／それな,🙆 大丈夫／気にしないで,,,that-s-for-sure.mp3,それは間違いない / 例: He's the funniest. — That's for sure. / 訳: 彼が一番面白い。ーそれは間違いない。 / 由来: 「それはたしかにそう!」って強く同意する時のフレーズ。相手の意見に完全に賛成する時に使うよ。,betmon,idle
サクッと相槌タイム,mcq,not bad,not bad,「not bad」の意味は?,悪くないね／いい感じ,いいね！／了解,bet,確かに／絶対そう,,,not-bad.mp3,悪くないね／いい感じ / 例: How is it? — Not bad. / 訳: どう？ー悪くないね。 / 由来: 「悪くないね」って言いつつ、実は「かなりいい!」って思ってる時の遠回しな褒め方。イギリス人がよく使う、ちょっとクールな褒め言葉なんだ。,betmon,idle
サクッと相槌タイム,mcq,not bad,How is it? — ____.　(どう？ー悪くないね。),空欄に入るのは?,not bad,tell me about it,exactly my thought,hits different,,,not-bad.mp3,どう？ー悪くないね。 / 例: How is it? — ____. / 訳: どう？ー悪くないね。 / 由来: 「悪くないね」って言いつつ、実は「かなりいい!」って思ってる時の遠回しな褒め方。イギリス人がよく使う、ちょっとクールな褒め言葉なんだ。,betmon,idle
サクッと相槌タイム,listen,not bad,not bad,何と言っていますか?,not bad,nut bad,,,,,not-bad.mp3,悪くないね／いい感じ / 例: How is it? — Not bad. / 訳: どう？ー悪くないね。 / 由来: 「悪くないね」って言いつつ、実は「かなりいい!」って思ってる時の遠回しな褒め方。イギリス人がよく使う、ちょっとクールな褒め言葉なんだ。,betmon,idle
サクッと相槌タイム,mcq_image,not bad,not bad,「not bad」に合う意味は?,👍 悪くないね／いい感じ,💬 とりあえずね,👋 またね／じゃあね,🙌 わかるよ／同感,,,not-bad.mp3,悪くないね／いい感じ / 例: How is it? — Not bad. / 訳: どう？ー悪くないね。 / 由来: 「悪くないね」って言いつつ、実は「かなりいい!」って思ってる時の遠回しな褒め方。イギリス人がよく使う、ちょっとクールな褒め言葉なんだ。,betmon,idle
サクッと相槌タイム,mcq,true,true,「true」の意味は?,確かに・その通り,いいね！／了解,bet,確かに／絶対そう,,,true.mp3,確かに・その通り / 例: That's true. / 訳: 確かにね。 / 由来: 「その通り」「たしかに」って一言で同意する相槌。友達の話に「True.」って返せば「うん、わかる」の感じでスマート。,betmon,idle
サクッと相槌タイム,mcq,true,That's _____.　(確かにね。),空欄に入るのは?,true,I dig it,Bet,For real?,,,true.mp3,確かに・その通り / 例: That's True. / 訳: 確かにね。 / 由来: 「その通り」「たしかに」って一言で同意する相槌。友達の話に「True.」って返せば「うん、わかる」の感じでスマート。,betmon,idle
サクッと相槌タイム,listen,true,true,何と言っていますか?,true,true blue,,,,,true.mp3,確かに・その通り / 例: That's true. / 訳: 確かにね。 / 由来: 「その通り」「たしかに」って一言で同意する相槌。友達の話に「True.」って返せば「うん、わかる」の感じでスマート。,betmon,idle
サクッと相槌タイム,mcq_image,true,true,「true」に合う意味は?,💯 確かに・その通り,💬 兄弟・男友達,👋 またあとで話そう,💬 よくもそんなことを！,,,true.mp3,確かに・その通り / 例: That's true. / 訳: 確かにね。 / 由来: 「その通り」「たしかに」って一言で同意する相槌。友達の話に「True.」って返せば「うん、わかる」の感じでスマート。,betmon,idle
友達の話に全力共感,mcq,I feel you,I feel you,「I feel you」の意味は?,わかるよ／同感,I feel you,超わかる／それな,big mood,,,i-feel-you.mp3,わかるよ／同感 / 例: I feel you. That was unlucky. / 訳: わかるよ。あれは不運だったね。 / 由来: 直訳「あなたを感じる」= 「あなたの気持ち、わかるよ」の意味。友達の悩みやグチに温かく共感したい時にピッタリ。,feelmon,idle
友達の話に全力共感,mcq,I feel you,____. That was unlucky.　(わかるよ。あれは不運だったね。),空欄に入るのは?,I feel you,for now,big mood,that's valid,,,i-feel-you.mp3,わかるよ。あれは不運だったね。 / 例: ____. That was unlucky. / 訳: わかるよ。あれは不運だったね。 / 由来: 直訳「あなたを感じる」= 「あなたの気持ち、わかるよ」の意味。友達の悩みやグチに温かく共感したい時にピッタリ。,feelmon,idle
友達の話に全力共感,listen,I feel you,I feel you,何と言っていますか?,I feel you,I peel you,,,,,i-feel-you.mp3,わかるよ／同感 / 例: I feel you. That was unlucky. / 訳: わかるよ。あれは不運だったね。 / 由来: 直訳「あなたを感じる」= 「あなたの気持ち、わかるよ」の意味。友達の悩みやグチに温かく共感したい時にピッタリ。,feelmon,idle
友達の話に全力共感,mcq_image,I feel you,I feel you,「I feel you」に合う意味は?,🙌 わかるよ／同感,💬 それは間違いない,💬 あなたがそう言うなら,💬 任せて／やるよ,,,i-feel-you.mp3,わかるよ／同感 / 例: I feel you. That was unlucky. / 訳: わかるよ。あれは不運だったね。 / 由来: 直訳「あなたを感じる」= 「あなたの気持ち、わかるよ」の意味。友達の悩みやグチに温かく共感したい時にピッタリ。,feelmon,idle
友達の話に全力共感,mcq,big mood,big mood,「big mood」の意味は?,超わかる／それな,わかるよ／同感,I feel you,big mood,,,big-mood.mp3,超わかる／それな / 例: That's such a big mood! / 訳: その気持ちマジでわかるー / 由来: 「大きな気分」= 「めっちゃそれ!」「同じ気分!」って共感する時に。SNSでみんなが同じ気持ちのポストに「Big mood.」ってコメントするのが定番。,feelmon,idle
友達の話に全力共感,mcq,big mood,That's such a ____!　(その気持ちマジでわかるー),空欄に入るのは?,big mood,I'm running behind,that's for sure,low-key freaking out,,,big-mood.mp3,その気持ちマジでわかるー / 例: That's such a ____! / 訳: その気持ちマジでわかるー / 由来: 「大きな気分」= 「めっちゃそれ!」「同じ気分!」って共感する時に。SNSでみんなが同じ気持ちのポストに「Big mood.」ってコメントするのが定番。,feelmon,idle
友達の話に全力共感,listen,big mood,big mood,何と言っていますか?,big mood,big mud,,,,,big-mood.mp3,超わかる／それな / 例: That's such a big mood! / 訳: その気持ちマジでわかるー / 由来: 「大きな気分」= 「めっちゃそれ!」「同じ気分!」って共感する時に。SNSでみんなが同じ気持ちのポストに「Big mood.」ってコメントするのが定番。,feelmon,idle
友達の話に全力共感,mcq_image,big mood,big mood,「big mood」に合う意味は?,🙌 超わかる／それな,🤔 私もそう思ってた,👋 またね／じゃあね,💬 それは間違いない,,,big-mood.mp3,超わかる／それな / 例: That's such a big mood! / 訳: その気持ちマジでわかるー / 由来: 「大きな気分」= 「めっちゃそれ!」「同じ気分!」って共感する時に。SNSでみんなが同じ気持ちのポストに「Big mood.」ってコメントするのが定番。,feelmon,idle
友達の話に全力共感,mcq,tell me about it,tell me about it,「tell me about it」の意味は?,ほんとそれ／同感だよ,わかるよ／同感,I feel you,超わかる／それな,,,tell-me-about-it.mp3,ほんとそれ／同感だよ / 例: Tell me about it. Same here. / 訳: ほんとそれ。俺もだよ。 / 由来: 直訳と逆で「わかる〜、ほんとそれ〜」って強く共感する言い方。「教えて」じゃなくて「わかってるって!」の意味だから、はじめて聞くとビックリするかも。,feelmon,idle
友達の話に全力共感,mcq,tell me about it,____. Same here.　(ほんとそれ。俺もだよ。),空欄に入るのは?,tell me about it,catch you later,big mood,let's roll,,,tell-me-about-it.mp3,ほんとそれ。俺もだよ。 / 例: ____. Same here. / 訳: ほんとそれ。俺もだよ。 / 由来: 直訳と逆で「わかる〜、ほんとそれ〜」って強く共感する言い方。「教えて」じゃなくて「わかってるって!」の意味だから、はじめて聞くとビックリするかも。,feelmon,idle
友達の話に全力共感,listen,tell me about it,tell me about it,何と言っていますか?,tell me about it,tell me a bit,,,,,tell-me-about-it.mp3,ほんとそれ／同感だよ / 例: Tell me about it. Same here. / 訳: ほんとそれ。俺もだよ。 / 由来: 直訳と逆で「わかる〜、ほんとそれ〜」って強く共感する言い方。「教えて」じゃなくて「わかってるって!」の意味だから、はじめて聞くとビックリするかも。,feelmon,idle
友達の話に全力共感,mcq_image,tell me about it,tell me about it,「tell me about it」に合う意味は?,🙌 ほんとそれ／同感だよ,💬 そりゃそうだね／一理ある,💯 マジで！？／うそでしょ！,💯 マジで／嘘じゃない,,,tell-me-about-it.mp3,ほんとそれ／同感だよ / 例: Tell me about it. Same here. / 訳: ほんとそれ。俺もだよ。 / 由来: 直訳と逆で「わかる〜、ほんとそれ〜」って強く共感する言い方。「教えて」じゃなくて「わかってるって!」の意味だから、はじめて聞くとビックリするかも。,feelmon,idle
友達の話に全力共感,mcq,exactly my thought,exactly my thought,「exactly my thought」の意味は?,私もそう思ってた,わかるよ／同感,I feel you,超わかる／それな,,,exactly-my-thought.mp3,私もそう思ってた / 例: Exactly my thought! / 訳: 私も今そう思ってた！ / 由来: 「まさに私が思ってた!」って完全同意の意味。「実は私もそう思ってた!」って盛り上がりたい時のフレーズ。,feelmon,idle
友達の話に全力共感,mcq,exactly my thought,____!　(私も今そう思ってた！),空欄に入るのは?,exactly my thought,tell me about it,ate and left no crumbs,I feel you,,,exactly-my-thought.mp3,私も今そう思ってた！ / 例: ____! / 訳: 私も今そう思ってた！ / 由来: 「まさに私が思ってた!」って完全同意の意味。「実は私もそう思ってた!」って盛り上がりたい時のフレーズ。,feelmon,idle
友達の話に全力共感,listen,exactly my thought,exactly my thought,何と言っていますか?,exactly my thought,exactly my throat,,,,,exactly-my-thought.mp3,私もそう思ってた / 例: Exactly my thought! / 訳: 私も今そう思ってた！ / 由来: 「まさに私が思ってた!」って完全同意の意味。「実は私もそう思ってた!」って盛り上がりたい時のフレーズ。,feelmon,idle
友達の話に全力共感,mcq_image,exactly my thought,exactly my thought,「exactly my thought」に合う意味は?,🤔 私もそう思ってた,💬 そりゃそうだね／一理ある,💬 悪くないよ／なかなか,🙌 ほんとそれ／同感だよ,,,exactly-my-thought.mp3,私もそう思ってた / 例: Exactly my thought! / 訳: 私も今そう思ってた！ / 由来: 「まさに私が思ってた!」って完全同意の意味。「実は私もそう思ってた!」って盛り上がりたい時のフレーズ。,feelmon,idle
地味にイラッとした本音,mcq,salty,salty,「salty」の意味は?,拗ねてる／不機嫌,salty,うらやましい,jelly,,,salty.mp3,拗ねてる／不機嫌 / 例: He's salty because he lost. / 訳: 彼、負けたから機嫌悪いんだよ。 / 由来: 「塩っぽい」= 拗ねてる、機嫌が悪い、悔しがってるって意味。ゲームやスポーツで負けて「くそ〜!」って怒ってる人に「Don't be salty!」って使うよ。,saltmon,idle
地味にイラッとした本音,mcq,salty,He's ____ because he lost.　(彼、負けたから機嫌悪いんだよ。),空欄に入るのは?,salty,shook,whatever,snatched,,,salty.mp3,彼、負けたから機嫌悪いんだよ。 / 例: He's ____ because he lost. / 訳: 彼、負けたから機嫌悪いんだよ。 / 由来: 「塩っぽい」= 拗ねてる、機嫌が悪い、悔しがってるって意味。ゲームやスポーツで負けて「くそ〜!」って怒ってる人に「Don't be salty!」って使うよ。,saltmon,idle
地味にイラッとした本音,listen,salty,salty,何と言っていますか?,salty,sultry,,,,,salty.mp3,拗ねてる／不機嫌 / 例: He's salty because he lost. / 訳: 彼、負けたから機嫌悪いんだよ。 / 由来: 「塩っぽい」= 拗ねてる、機嫌が悪い、悔しがってるって意味。ゲームやスポーツで負けて「くそ〜!」って怒ってる人に「Don't be salty!」って使うよ。,saltmon,idle
地味にイラッとした本音,mcq_image,salty,salty,「salty」に合う意味は?,😒 拗ねてる／不機嫌,😋 最高！／盛り上がってる,💬 めっちゃ驚いた／動揺した,😰 イライラ／焦ってる,,,salty.mp3,拗ねてる／不機嫌 / 例: He's salty because he lost. / 訳: 彼、負けたから機嫌悪いんだよ。 / 由来: 「塩っぽい」= 拗ねてる、機嫌が悪い、悔しがってるって意味。ゲームやスポーツで負けて「くそ〜!」って怒ってる人に「Don't be salty!」って使うよ。,saltmon,idle
地味にイラッとした本音,mcq,jelly,jelly,「jelly」の意味は?,うらやましい,拗ねてる／不機嫌,salty,jelly,,,jelly.mp3,うらやましい / 例: You're so lucky. I'm jelly! / 訳: ラッキーだね。うらやましい！ / 略: Jealous（嫉妬してる）を可愛く縮めたもの / 由来: 「いいな〜、うらやましい〜」って可愛らしく嫉妬する言い方。本気の嫉妬じゃなくて、冗談っぽい軽いニュアンスだよ。,saltmon,idle
地味にイラッとした本音,mcq,jelly,You're so lucky. I'm ____!　(ラッキーだね。うらやましい！),空欄に入るのは?,jelly,ate,bet,lit,,,jelly.mp3,ラッキーだね。うらやましい！ / 例: You're so lucky. I'm ____! / 訳: ラッキーだね。うらやましい！ / 略: Jealous（嫉妬してる）を可愛く縮めたもの / 由来: 「いいな〜、うらやましい〜」って可愛らしく嫉妬する言い方。本気の嫉妬じゃなくて、冗談っぽい軽いニュアンスだよ。,saltmon,idle
地味にイラッとした本音,listen,jelly,jelly,何と言っていますか?,jelly,jolly,,,,,jelly.mp3,うらやましい / 例: You're so lucky. I'm jelly! / 訳: ラッキーだね。うらやましい！ / 略: Jealous（嫉妬してる）を可愛く縮めたもの / 由来: 「いいな〜、うらやましい〜」って可愛らしく嫉妬する言い方。本気の嫉妬じゃなくて、冗談っぽい軽いニュアンスだよ。,saltmon,idle
地味にイラッとした本音,mcq_image,jelly,jelly,「jelly」に合う意味は?,😍 うらやましい,😬 イタい／見てられない,😋 超イケてる／最高,😴 くたくた／疲れきった,,,jelly.mp3,うらやましい / 例: You're so lucky. I'm jelly! / 訳: ラッキーだね。うらやましい！ / 略: Jealous（嫉妬してる）を可愛く縮めたもの / 由来: 「いいな〜、うらやましい〜」って可愛らしく嫉妬する言い方。本気の嫉妬じゃなくて、冗談っぽい軽いニュアンスだよ。,saltmon,idle
地味にイラッとした本音,mcq,pressed,pressed,「pressed」の意味は?,イライラ／焦ってる,拗ねてる／不機嫌,salty,うらやましい,,,pressed.mp3,イライラ／焦ってる / 例: Why are you so pressed? / 訳: なんでそんな焦ってんの？ / 由来: 「押さえつけられた」= イライラ、ピリピリ、焦ってるって意味。「なんでそんなカリカリしてるの?」って言いたい時「Why you so pressed?」って使うよ。,saltmon,idle
